Criancas
nome,energiaSusto,energiaRiso,portaId
Boo,50,20,2
Timmy,35,45,3
Molly,40,30,4
Johnny,25,55,5

MonstrosPrincipais
nome,eficiencia,tipo
Sulley,0.8,susto
Mike,0.75,riso
Randall,0.45,susto
Fungus,0.55,riso

MonstrosAuxiliares
nome,eficiencia,tipo
Celia,0.7,suporte
Roz,0.6,suporte
Yeti,0.5,suporte

Portas
id,criancaNome
2,Boo
3,Timmy
4,Molly
5,Johnny

Cilindros
id,armazenado
1,100
2,12
3,10
4,80
5,20

Gabinetes
id,portaId,monstroPrincipalNome,monstroAuxiliarNome,cilindroId
2,2,Sulley,Celia,2
3,3,Mike,Roz,3
4,4,Randall,Yeti,4
5,5,Fungus,Yeti,5
